peiid,phiid,site_id,pedon_id,hzdept,hzdepb,hzname,serial,,L,A,B
351722,1567731,07CA630RJV150,07RJV150N,0,10,A,1,,47.6,11.2,21.9
351722,1567732,07CA630RJV150,07RJV150N,10,28,BA,2,,44.6,13.6,22.1
351722,1567733,07CA630RJV150,07RJV150N,28,43,Bt1,3,,50.3,14.6,24.6
351722,1567734,07CA630RJV150,07RJV150N,43,58,Bt2,4,,43.2,13.1,22.6
351722,1567735,07CA630RJV150,07RJV150N,58,69,Bt3,5,,48.9,14.9,25.1
351722,1567736,07CA630RJV150,07RJV150N,69,102,Bt4,6,,42.6,12.3,21.1
351722,1567737,07CA630RJV150,07RJV150N,102,114,Bt5,7,,46.4,13.5,23.2
351722,1567738,07CA630RJV150,07RJV150N,114,203,R,8,,-,-,-
463684,1972329,09CA630BAH011,09BAH011,0,1,Oi,9,,-,-,-
463684,1972330,09CA630BAH011,09BAH011,1,3,A,10,,48.9,11.7,23
463684,1972331,09CA630BAH011,09BAH011,3,17,Bt1,11,,54.8,13.6,26.1
463684,1972332,09CA630BAH011,09BAH011,17,29,Bt2,12,,51,16.1,27.7
463684,1972333,09CA630BAH011,09BAH011,29,45,Bt3,13,,52.5,17.3,28.9
463684,1972334,09CA630BAH011,09BAH011,45,52,BC,14,,57.2,15.3,29.9
463684,1972335,09CA630BAH011,09BAH011,52,53,Cr,15,,67.5,13.5,33
463685,1972336,09CA630BAH012,09BAH012,0,1,Oi,16,,-,-,-
463685,1972337,09CA630BAH012,09BAH012,1,3,A,17,,49.4,14.5,25.1
463685,1972338,09CA630BAH012,09BAH012,3,16,Bt1,18,,48.6,19.1,28.4
463685,1972339,09CA630BAH012,09BAH012,16,22,Bt2,19,,47.7,18.4,27.9
463685,1972340,09CA630BAH012,09BAH012,22,32,Bt3,20,,46.9,18,26.5
463685,1972341,09CA630BAH012,09BAH012,32,33,Cr,21,,51.2,12.7,23.6
463686,1972342,09CA630BAH013,09BAH013,0,1,Oi,22,,-,-,-
463686,1972343,09CA630BAH013,09BAH013,1,3,A,23,,46.9,13.9,23.4
463686,1972344,09CA630BAH013,09BAH013,3,10,AB,24,,45.1,15.7,24.5
463686,1972345,09CA630BAH013,09BAH013,10,21,Bt1,25,,45.5,17.3,25.6
463686,1972346,09CA630BAH013,09BAH013,21,48,Bt2,26,,43.9,19.4,26
463686,1972347,09CA630BAH013,09BAH013,48,60,Bt3,27,,52.3,18.8,29.8
463686,1972348,09CA630BAH013,09BAH013,60,83,Bt4,28,,60.2,12.2,29.6
463686,1972349,09CA630BAH013,09BAH013,83,100,Cr,29,,58.6,10.8,27.3
463687,1972351,09CA630BAH014,09BAH014,0,9,A,30,,49.2,13.5,24.1
463687,1972352,09CA630BAH014,09BAH014,9,21,BA,31,,53.4,14.2,25.3
463687,1972353,09CA630BAH014,09BAH014,21,37,Bt1,32,,53.9,18.4,28.8
463687,1972354,09CA630BAH014,09BAH014,37,52,Bt2,33,,52,19.9,29.3
463687,1972355,09CA630BAH014,09BAH014,52,69,Bt3,34,,51.9,19.8,29.6
463687,1972356,09CA630BAH014,09BAH014,69,82,BCt1,35,,56.6,18.7,30.3
463687,1972357,09CA630BAH014,09BAH014,82,102,BCt2,36,,59.4,16.6,31.1
463687,1972358,09CA630BAH014,09BAH014,102,150,BCt3,37,,-,-,-
463688,1972359,09CA630BAH015,09BAH015,0,1,Oi,38,,-,-,-
463688,2068660,09CA630BAH015,09BAH015,1,4,AB,39,,56.9,9.5,21.4
463688,2068661,09CA630BAH015,09BAH015,4,18,Bt1,40,,53.2,12.8,24.8
463688,2068662,09CA630BAH015,09BAH015,18,35,Bt2,41,,54.5,15.3,27.8
463688,2068663,09CA630BAH015,09BAH015,35,60,Bt3,42,,63.1,11.4,26.8
463688,2068664,09CA630BAH015,09BAH015,60,85,BCt1,43,,62.2,10.5,28.1
463688,2068665,09CA630BAH015,09BAH015,85,100,BCt2,44,,67.4,8.5,24.4
482365,2035525,09CA630AMS004,09AMS004,0,12,A,45,,46.9,13.8,23.1
482365,2035526,09CA630AMS004,09AMS004,12,29,AB,46,,48.6,15.5,24.5
482365,2035527,09CA630AMS004,09AMS004,29,50,Bt1,47,,48.8,20,27.4
482365,2035528,09CA630AMS004,09AMS004,50,69,Bt2,48,,47.9,21.6,27.7
482365,2035529,09CA630AMS004,09AMS004,69,95,Bt3,49,,48.5,21.3,27.8
482365,2035530,09CA630AMS004,09AMS004,95,137,Bt4,50,,52.8,19.5,27.6
482365,2035531,09CA630AMS004,09AMS004,137,183,BC,51,,54.7,18.9,31.4
488641,2068713,09CA630BAH010,09BAH010,0,4,A,52,,-,-,-
488641,2068714,09CA630BAH010,09BAH010,4,12,BA,53,,-,-,-
488641,2068715,09CA630BAH010,09BAH010,12,16,Bt1,54,,-,-,-
488641,2068716,09CA630BAH010,09BAH010,16,26,Bt2,55,,-,-,-
488641,2068717,09CA630BAH010,09BAH010,26,43,Bt3,56,,-,-,-
488641,2068718,09CA630BAH010,09BAH010,43,63,Bt4,57,,-,-,-
488641,2068719,09CA630BAH010,09BAH010,63,73,Bt5,58,,-,-,-
488641,2068720,09CA630BAH010,09BAH010,73,74,Cr,59,,-,-,-
542098,2419096,11CA630MJE015N,11MJE015N,0,6,A,60,,-,-,-
542098,2419097,11CA630MJE015N,11MJE015N,6,25,AB,61,,-,-,-
542098,2419098,11CA630MJE015N,11MJE015N,25,35,Bt1,62,,-,-,-
542098,2419099,11CA630MJE015N,11MJE015N,35,53,Bt2,63,,-,-,-
542098,2419100,11CA630MJE015N,11MJE015N,53,86,Bt3,64,,-,-,-
542098,2419101,11CA630MJE015N,11MJE015N,86,120,C,65,,-,-,-
542098,5728944,11CA630MJE015N,11MJE015N,120,135,Cr,66,,-,-,-
625864,2889043,2012CA6301002,2012CA6301002,0,2,Oi,67,,-,-,-
625864,2889044,2012CA6301002,2012CA6301002,2,10,A1,68,,-,-,-
625864,2889045,2012CA6301002,2012CA6301002,10,20,A2,69,,-,-,-
625864,2889046,2012CA6301002,2012CA6301002,20,49,Bt1,70,,-,-,-
625864,2889047,2012CA6301002,2012CA6301002,49,79,Bt2,71,,-,-,-
625864,2889048,2012CA6301002,2012CA6301002,79,115,Bt3,72,,-,-,-
625864,2889049,2012CA6301002,2012CA6301002,115,180,C,73,,-,-,-
894120,4434593,2012CA6302001,2012CA6302001,0,9,A1,74,,-,-,-
894120,4434594,2012CA6302001,2012CA6302001,9,18,A2,75,,-,-,-
894120,4434595,2012CA6302001,2012CA6302001,18,49,Bt1,76,,-,-,-
894120,4434596,2012CA6302001,2012CA6302001,49,81,Bt2,77,,-,-,-
894120,4434597,2012CA6302001,2012CA6302001,81,115,Bt3,78,,-,-,-
894120,4434598,2012CA6302001,2012CA6302001,115,125,Ct,79,,-,-,-
894120,4434599,2012CA6302001,2012CA6302001,125,200,Crt,80,,-,-,-
1137351,5339925,2015CA6303062,2015CA6303062,0,3,Oi,81,,-,-,-
1137351,5339926,2015CA6303062,2015CA6303062,3,13,A,82,,45,15.1,22.5
1137351,5339927,2015CA6303062,2015CA6303062,13,26,Bt1,83,,44.7,17.6,23.8
1137351,5339928,2015CA6303062,2015CA6303062,26,45,Bt2,84,,44.9,21.2,26.5
1137351,5339929,2015CA6303062,2015CA6303062,45,85,Bt3,85,,45.4,23.3,27.7
1137351,5339930,2015CA6303062,2015CA6303062,85,110,BCt,86,,46.3,23.6,28
1193324,5932175,2017CA6306009,2017CA6306009,0,16,A,87,,46.8,10.4,19.9
1193324,5932176,2017CA6306009,2017CA6306009,16,36,Bt1,88,,50,15.2,24.7
1193324,5932177,2017CA6306009,2017CA6306009,36,89,Bt2,89,,53.8,17.1,28.2
1193324,5932178,2017CA6306009,2017CA6306009,89,112,Cr,90,,59,12.2,27.5
1193325,5932179,2017CA6306010,2017CA6306010,0,4,A,91,,48.8,14.2,23.6
1193325,5932180,2017CA6306010,2017CA6306010,4,17,ABt,92,,48.3,15.9,24.7
1193325,5932181,2017CA6306010,2017CA6306010,17,52,Bt1,93,,46.4,18.2,25.5
1193325,5932182,2017CA6306010,2017CA6306010,52,89,Bt2,94,,48.3,18.3,26.1
1193325,5932183,2017CA6306010,2017CA6306010,89,93,BC,95,,56,12,25
1193325,5932184,2017CA6306010,2017CA6306010,93,95,R,96,,-,-,-
1193326,5932185,2017CA6306011,2017CA6306011,0,8,A,97,,40.8,12,18.6
1193326,5932186,2017CA6306011,2017CA6306011,8,36,BAt,98,,47.6,15.8,24.1
1193326,5932187,2017CA6306011,2017CA6306011,36,58,Bt1,99,,49.4,24.1,30.5
1193326,5932188,2017CA6306011,2017CA6306011,58,80,Bt2,100,,49.7,25.9,32
1193326,5932189,2017CA6306011,2017CA6306011,80,200,Cr,101,,-,-,-
1193327,5932190,2017CA6306012,2017CA6306012,0,6,A,102,,46.2,11.7,21
1193327,5932191,2017CA6306012,2017CA6306012,6,12,C,103,,48.3,10.6,20.7
1193327,5932192,2017CA6306012,2017CA6306012,12,26,Btg1,104,,49.5,9.4,20
1193327,5932193,2017CA6306012,2017CA6306012,26,50,Btg2,105,,51.9,5.2,17.7
1193327,5932194,2017CA6306012,2017CA6306012,50,95,BCtg,106,,50.6,9,19.6
1193327,5932196,2017CA6306012,2017CA6306012,95,200,R,107,,-,-,-
1193328,5932197,2017CA6306013N,2017CA6306013N,0,22,A,108,,45.9,16,24
1193328,5932198,2017CA6306013N,2017CA6306013N,22,55,Bt1,109,,45.7,19.1,26.2
1193328,5932199,2017CA6306013N,2017CA6306013N,55,108,Bt2,110,,45.4,20.3,26.7
1193328,5932200,2017CA6306013N,2017CA6306013N,108,118,BCt,111,,48.7,18.1,26.9
1193328,5932201,2017CA6306013N,2017CA6306013N,118,126,Cr,112,,-,-,-
1193336,5932206,2017CA6306021,2017CA6306021,0,8,A,113,,54.7,9.7,21.5
1193336,5932207,2017CA6306021,2017CA6306021,8,35,Bt,114,,53.9,10.4,22.2
1193336,5932208,2017CA6306021,2017CA6306021,35,55,Btg,115,,56,9.4,21.4
1193336,5932209,2017CA6306021,2017CA6306021,55,75,BCt,116,,47.3,9.7,19.5
1193336,5932210,2017CA6306021,2017CA6306021,75,200,R,117,,-,-,-
1193337,5932211,2017CA6306022,2017CA6306022,0,9,A,118,,51.5,9.1,20
1193337,5932212,2017CA6306022,2017CA6306022,9,29,Bt1,119,,50.3,10.9,22.3
1193337,5932213,2017CA6306022,2017CA6306022,29,64,Bt2,120,,52.5,11.9,23.6
1193337,5932214,2017CA6306022,2017CA6306022,64,70,Btg,121,,52.7,12.6,24.1
1193337,5932215,2017CA6306022,2017CA6306022,70,88,2Bt,122,,51.8,12.4,24.3
1193337,5932216,2017CA6306022,2017CA6306022,88,109,2BCt,123,,54.1,13,24.9
1193337,5932217,2017CA6306022,2017CA6306022,109,200,2R,124,,-,-,-
1193362,5932362,2017CA6306045,2017CA6306045,0,8,Oi,125,,-,-,-
1193362,5932363,2017CA6306045,2017CA6306045,8,14,Oe,126,,-,-,-
1193362,5932365,2017CA6306045,2017CA6306045,14,29,A,127,,43.5,10.9,19.3
1193362,5932364,2017CA6306045,2017CA6306045,29,43,BA,128,,46.5,11.6,21
1193362,5932366,2017CA6306045,2017CA6306045,43,80,Bt,129,,47.6,15.1,24.4
1193362,5932367,2017CA6306045,2017CA6306045,80,90,BCt,130,,54.1,12.4,25.1
1193362,5932368,2017CA6306045,2017CA6306045,90,172,Crt,131,,56.8,9.6,22.4
1193363,5932371,2017CA6306046,2017CA6306046,0,17,A,132,,42.5,6.6,12.8
1193363,5932372,2017CA6306046,2017CA6306046,17,37,AB,133,,50.5,8.5,18.2
1193363,5932373,2017CA6306046,2017CA6306046,37,73,Bg,134,,52.1,10.5,21.7
1193363,5932374,2017CA6306046,2017CA6306046,73,98,Cr,135,,52.5,11.6,19.9
1209613,6020668,2017CA6303010,2017CA6303010,0,2,Oi,136,,-,-,-
1209613,6020669,2017CA6303010,2017CA6303010,2,12,A,137,,45.5,14.2,21.6
1209613,6020670,2017CA6303010,2017CA6303010,12,35,BA,138,,47.2,17.3,24.8
1209613,6020671,2017CA6303010,2017CA6303010,35,59,Bt1,139,,48.2,18.2,25.6
1209613,6020672,2017CA6303010,2017CA6303010,59,130,Bt2,140,,46.3,22.3,27.5
1209613,6020673,2017CA6303010,2017CA6303010,130,202,CB,141,,59.5,15.6,29.6
1209615,6020679,2017CA6303012,2017CA6303012,0,1,Oi,142,,-,-,-
1209615,6020680,2017CA6303012,2017CA6303012,1,14,A,143,,-,-,-
1209615,6020681,2017CA6303012,2017CA6303012,14,29,Bt1,144,,-,-,-
1209615,6020682,2017CA6303012,2017CA6303012,29,59,Bt2,145,,-,-,-
1209615,6020683,2017CA6303012,2017CA6303012,59,118,Bt3,146,,-,-,-
1209615,6020684,2017CA6303012,2017CA6303012,118,170,CB,147,,-,-,-
